Date,spy_return_1d,spy_return_5d,spy_ma_ratio
2016-07-18,0.0026874518408297465,0.014105428798336872,1.0307252362284354
2016-07-19,-0.0010166403884191988,0.005769092942515819,1.0276363589144655
2016-07-20,0.004162756409438417,0.010096863712760307,1.0297970768860398
2016-07-21,-0.003777315232167844,0.0006935891081312207,1.023923071812299
2016-07-22,0.004485408445253913,0.006532964692626209,1.026952624422507
2016-07-25,-0.0027162680302896813,0.001108520443063865,1.0209271985898927
2016-07-26,0.0004616201270675191,0.002589925696964812,1.0172878159347747
2016-07-27,-0.001060748798568767,-0.002625397879762459,1.0130421707240485
2016-07-28,0.001154535890636632,0.0023121558685439414,1.011818697431726
2016-07-29,0.0016144036271854567,-0.0005526373922771777,1.0116483716763338
2016-08-01,-0.0008288369246437499,0.001338888539782257,1.0091594369479122
2016-08-02,-0.006407469584584602,-0.005536224426842318,1.0010308918057258
2016-08-03,0.0029225572604567596,-0.0015707644872536841,1.0024388181154829
2016-08-04,0.0010644572535809527,-0.001660597916067319,1.001907672590882
2016-08-05,0.008178649260556003,0.004882184453095073,1.0088105374220222
2016-08-08,-0.0005956596567391337,0.005116694506023034,1.0071269270218435
2016-08-09,0.0005960146786379017,0.01220140854844054,1.0069760469478473
2016-08-10,-0.002474840666173317,0.00675407490908686,1.0038538209768153
2016-08-11,0.004640470150904186,0.010350412317953417,1.007924096232866
2016-08-12,-0.0008689161430380787,0.0012833571460357796,1.006438213659473
2016-08-15,0.0028839550634029987,0.004769514017599841,1.0087180267372822
2016-08-16,-0.00515781104667512,-0.0010083109916489974,1.0031065281031493
2016-08-17,0.0018810777207762808,0.0033540113275867256,1.0046975187680944
2016-08-18,0.0022439823660966862,0.0009605922852273796,1.0063524301605316
2016-08-19,-0.0014621366839159267,0.0003662854985135855,1.0045807592859963
2016-08-22,-4.590212094024437e-05,-0.0025562164856340885,1.0041007689232382
2016-08-23,0.002013556174315312,0.004633904453448245,1.0056096873311902
2016-08-24,-0.005114907906461075,-0.0023813037508836343,1.0001606493926436
2016-08-25,-0.0006885747571486744,-0.005300327327419696,0.9992586454375388
2016-08-26,-0.0018832421156361745,-0.005719814109525045,0.9973378801513817
2016-08-29,0.004924118046599979,-0.0007779946934712845,1.0019223918176803
2016-08-30,-0.0016484245338795889,-0.0044297733386693405,0.9997088744664803
2016-08-31,-0.002844188698727601,-0.002157490384292804,0.9965912914975411
2016-09-01,4.606466820167299e-05,-0.001423930825843689,0.9964133735217752
2016-09-02,0.004508031816611968,0.004970284229524724,1.0008616541953472
2016-09-06,0.0030223009436702863,0.0030683797571759985,1.0036611660606969
2016-09-07,-9.127173919443177e-05,0.0046328894641596285,1.0033787533151277
2016-09-08,-0.0022829832682649265,0.005198303040251595,1.0008885964111516
2016-09-09,-0.02393468673564514,-0.01890599721993169,0.9781356109097372
2016-09-12,0.014347103484258161,-0.0092962639969989,0.9926515889669025
2016-09-13,-0.014375274901432977,-0.02648017244143075,0.9796990537595087
2016-09-14,-0.00037543753089963605,-0.026756838725782606,0.9804145949248756
2016-09-15,0.009993128820496855,-0.014781857907513518,0.9909161923263049
2016-09-16,-0.003865821969990746,0.005475198039077922,0.9880888512328142
2016-09-19,0.00018736282439224539,-0.008560695586738998,0.9891974111306869
2016-09-20,4.68528106842836e-05,0.005946513803356979,0.9901643679454515
2016-09-21,0.011245817997968865,0.017641265937505812,1.0017758416203109
2016-09-22,0.006301403869504396,0.013921585530364489,1.0079890330535903
2016-09-23,-0.00547902733087835,0.012279574069085308,1.0026095053977582
2016-09-26,-0.008102452883950506,0.0038895349361616205,0.9949380310212752
2016-09-27,0.0062082787032538,0.010074636120622094,1.0015084608101743
2016-09-28,0.004963015296160833,0.003799109893566577,1.00654078454618
2016-09-29,-0.009047056938062514,-0.011511185051495287,0.9978071551571163
2016-09-30,0.0075463311273145095,0.0014351695256868968,1.0053363220604967
2016-10-03,-0.002404122473461001,0.007188292413462527,1.0032673398530745
2016-10-04,-0.005097944145549871,-0.00412894232387051,0.9989072575797664
2016-10-05,0.004425099830418278,-0.004661991237766672,1.0038598428407033
2016-10-06,0.0006958871490745366,0.005124066349598166,1.004940118210305
2016-10-07,-0.0034296041554039425,-0.005825481440439817,1.0008335783788125
2016-10-10,0.005208649326770232,0.0017611815659912544,1.0058341775504682
2016-10-11,-0.012629569325180334,-0.005822368688691015,0.99283716925652
2016-10-12,0.0013119221404689352,-0.00890378473670439,0.9937626208069406
2016-10-13,-0.00327600853541965,-0.012837578040819753,0.9907807312949947
2016-10-14,0.0005166834362166917,-0.008928544787438542,0.9913502834798443
2016-10-17,-0.0034724103902186165,-0.0174875146015816,0.9881446236156143
2016-10-18,0.006262819553639387,0.0013119221404689352,0.9942660921654314
2016-10-19,0.0026669433299979506,0.0026669433299979506,0.9972750072214918
2016-10-20,-0.0018665027959280378,0.004084853226342888,0.9961785651167953
2016-10-21,0.0004674982858396959,0.004035492665629636,0.9971110230033938
2016-10-24,0.004252662953638353,0.011818767209703873,1.0011997704368174
2016-10-25,-0.0033506653141694986,0.0021522027510765263,0.9981706439389156
2016-10-26,-0.00200760432984759,-0.0025199451294757313,0.9968403515712358
2016-10-27,-0.0026670695956401147,-0.0033199878267112792,0.9945319057232098
2016-10-28,-0.0029553843730424356,-0.006729912422930084,0.9924631899311275
2016-10-31,4.7380023089571566e-05,-0.010889206093536274,0.993259256583207
2016-11-01,-0.007245781323294009,-0.014754859893784333,0.98690860792013
2016-11-02,-0.006018322642267537,-0.01871434970832675,0.9823221100178104
2016-11-03,-0.0045772509675161555,-0.02059379589177579,0.9794312995599197
2016-11-04,-0.0011015120671189482,-0.0187727198741251,0.9798440524056095
