Date,vix_change,vix_ma_ratio
2016-07-18,-0.018153156631860234,0.7603214596174388
2016-07-19,-0.037781296560141064,0.7461895876243055
2016-07-20,-0.016708421453927036,0.7493951627605883
2016-07-21,0.08241285264476494,0.833524142030205
2016-07-22,-0.05651486077627299,0.8001065311912092
2016-07-25,0.07071542391218455,0.8950864037650639
2016-07-26,0.013986037822560693,0.9430212934314282
2016-07-27,-0.01685825776347516,0.9473878460872118
2016-07-28,-0.008573628786544218,0.9530588698940468
2016-07-29,-0.06682392795800418,0.9020784921612244
2016-08-01,0.04802019379272915,0.95384140263043
2016-08-02,0.07475886949725496,1.0339094366193406
2016-08-03,-0.0381451184178907,1.0026117545755706
2016-08-04,-0.03421458725738313,0.9772217708640681
2016-08-05,-0.08293073483446689,0.9026072064472616
2016-08-08,0.009657563947461423,0.9187504987609243
2016-08-09,0.013913030209748545,0.9386194289686844
2016-08-10,0.03344771427328208,0.9738947861373399
2016-08-11,-0.03070538420767588,0.9483598793784737
2016-08-12,-0.011130146493515958,0.9420881039801838
2016-08-15,0.022510841955691197,0.9657766972441133
2016-08-16,0.07027941525957981,1.0308269659771907
2016-08-17,-0.035601325214929425,0.9924285223994341
2016-08-18,-0.062346128086053776,0.9355432979514244
2016-08-19,-0.007874028887570272,0.9307670295608705
2016-08-22,0.08201060781851455,1.0095857470594585
2016-08-23,0.008964926860100197,1.0214521482269228
2016-08-24,0.08642969991382277,1.1069047593736123
2016-08-25,0.01338292250768558,1.1175337223056243
2016-08-26,0.0014673150345880792,1.1110658551488612
2016-08-29,-0.05201465626292967,1.0511351714598423
2016-08-30,0.013910379521855365,1.0668401229999467
2016-08-31,0.022865868395705258,1.0887554761851699
2016-09-01,0.00447089907610132,1.0889409075422538
2016-09-02,-0.11127596817048191,0.9654671828628248
2016-09-06,0.00333897471250455,0.9666653610479651
2016-09-07,-0.006655646783166214,0.9591516702877652
2016-09-08,0.047738749458166696,1.0030870555727813
2016-09-09,0.3988808696899744,1.3712047012732616
2016-09-12,-0.13371429443359373,1.171289489880138
2016-09-13,0.1774406702594271,1.347678399937686
2016-09-14,0.016246442688021556,1.3417159378119556
2016-09-15,-0.10143330840671827,1.187570531982473
2016-09-16,-0.05705517760927059,1.1039683965789173
2016-09-19,0.010409879544790224,1.098924417726387
2016-09-20,0.02511270766442819,1.1121590162080996
2016-09-21,-0.1645728563444202,0.9261516187775789
2016-09-22,-0.09624058004622238,0.8412065609362936
2016-09-23,0.0224625202834301,0.8641541317955184
2016-09-26,0.1798209963390236,1.0165095235641446
2016-09-27,-0.09655169782967399,0.9178490407419492
2016-09-28,-0.05419847461617522,0.8703287702446699
2016-09-29,0.1315577134200292,0.9827562366997997
2016-09-30,-0.05206850728071133,0.9322063589603969
2016-10-03,0.021068452503753887,0.9465680581882094
2016-10-04,0.004421549076348397,0.9454444641936325
2016-10-05,-0.04695527057587301,0.8977814476453809
2016-10-06,-0.011547314947901732,0.8864036554414559
2016-10-07,0.04984418863261819,0.9436801821579703
2016-10-10,-0.007418355429618995,0.9425522258202966
2016-10-11,0.14798202730202759,1.0916068299740578
2016-10-12,0.035807304884656554,1.1397256256545367
