date,ticker,open,high,low,close,volume,finbert_score_mean,finbert_pos_mean,finbert_neg_mean,news_count,sentiment_lag1,sentiment_lag2
2018-01-02,AAPL,39.776186,40.276427,39.565802,40.267075,102223600,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02,AMD,10.42,11.02,10.34,10.98,44146300,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02,AMZN,58.599998,59.5,58.525501,59.4505,53890000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02,AVGO,20.514897,21.125361,20.341156,21.086664,33135000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02,GOOGL,52.188236,53.326145,52.188236,53.188862,31766000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02,META,176.13328,179.99934,176.004422,179.840729,18151900,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02,MSFT,78.864715,79.029531,78.287859,78.699898,22483800,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02,NVDA,4.834375,4.926233,4.802769,4.922529,355616000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02,ORCL,41.936303,42.139064,40.702103,41.107628,25380000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02,TSLA,20.799999,21.474001,20.733334,21.368668,65283000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,AAPL,40.330203,40.802394,40.196963,40.260075,118071600,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,AMD,11.61,12.14,11.36,11.55,154066700,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,AMZN,59.415001,60.274502,59.415001,60.209999,62176000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,AVGO,21.108771,21.380439,21.009265,21.317261,31161000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,GOOGL,53.224546,54.323305,53.199768,54.096317,31318000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,META,180.296718,183.171467,179.751502,183.062424,16886600,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,MSFT,78.800608,79.212654,78.718203,79.066147,26061400,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,NVDA,5.03982,5.276872,5.031178,5.2465,914704000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,ORCL,41.901036,42.377085,41.821695,42.059719,24165000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,TSLA,21.4,21.683332,21.036667,21.15,67822500,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04,AAPL,40.332521,40.549917,40.224995,40.447063,89738400,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04,AMD,12.1,12.43,11.97,12.12,109503000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04,AMZN,60.25,60.793499,60.233002,60.4795,60442000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04,AVGO,21.448361,21.461787,21.198805,21.324373,19067000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04,GOOGL,54.372367,54.718794,54.232112,54.30645,26052000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04,META,183.290402,184.589011,182.497379,182.725372,13880900,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04,MSFT,79.285944,80.265694,79.267634,79.762085,21912000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04,NVDA,5.327739,5.384286,5.251932,5.274156,583268000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04,ORCL,42.306559,42.48287,42.068535,42.474056,19815100,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04,TSLA,20.858,21.236668,20.378668,20.974667,149194500,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05,AAPL,40.542909,40.994059,40.451743,40.90757,94640000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05,AMD,12.19,12.22,11.66,11.88,63808900,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05,AMZN,60.8755,61.457001,60.5,61.457001,70894000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05,AVGO,21.47837,21.659219,21.279357,21.450729,28633000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05,GOOGL,54.687576,55.189625,54.605801,55.026569,30250000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05,META,183.974409,185.273002,183.32015,185.22345,13574500,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05,MSFT,80.265669,80.952405,80.055067,80.750961,23407100,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05,NVDA,5.288972,5.356137,5.212177,5.318851,580124000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05,ORCL,42.685625,42.870757,42.562205,42.729706,14496400,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05,TSLA,21.108,21.149332,20.799999,21.105333,68868000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-08,AAPL,40.755642,41.050175,40.657461,40.755642,82271200,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-08,AMD,12.01,12.3,11.85,12.28,63346000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-08,AMZN,61.799999,62.653999,61.601501,62.343498,85590000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-08,AVGO,21.395446,21.524172,21.248556,21.50206,20971000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-08,GOOGL,55.061759,55.466174,55.012199,55.220848,24644000,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-08,META,185.570391,187.255589,184.707969,186.640991,17994700,0.0,0.0,0.0,0.0,0.0,0.0
